Gene,Log2FC,P-Value,Direction,Pathway,Drug_ID,Target_ID
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL255717,CHEMBL1075203
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL257162,CHEMBL1075203
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL257375,CHEMBL1075203
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL402780,CHEMBL1075203
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL402148,CHEMBL1075203
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823492,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823500,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823505,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823504,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823503,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823493,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823498,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823501,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823494,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823495,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823497,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823499,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823502,CHEMBL1795161
THY1,12.3719335390021,1.10634539374559e-46,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823496,CHEMBL1795161
