Disease,Analysis,Gene Name,P-value,LogFC,Direction,Pathway,Drug_ID
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL255717
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL257162
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL257375
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL402780
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL402148
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823492
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823500
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823505
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823504
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823503
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823493
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823498
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823501
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823494
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823495
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823497
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823499
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823502
Breast Cancer,RNA-Seq Differential Expression,THY1,1.10634539374559e-46,12.3719335390021,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1823496
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1643361
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL38380
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL559147
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL1233300
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL3219175
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL512845
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL3288258
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL3288259
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL3288260
Breast Cancer,RNA-Seq Differential Expression,CCL2,3.87339039981786e-194,8.49296456233571,Upregulated,positive regulation of leukocyte cell-cell adhesion (GO:1903039),CHEMBL4166454
