"ensembl_gene_id","chromosome_name","start_position","end_position","Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"ENSG00000198879","chr10",7158624,7411488,"ENSG00000198879",260.22213715198,-11.8075339864908,1.20886180674415,-9.76748038577893,1.55265329709711e-22,1.03445525919095e-20,"SFMBT2"
"ENSG00000065675","chr10",6427136,6580855,"ENSG00000065675",143.408169991361,-10.9453396638256,1.2001997160611,-9.11959861126016,7.54030759671591e-20,3.78838650935001e-18,"PRKCQ"
"ENSG00000162493","chr1",13583465,13617957,"ENSG00000162493",114.682345006551,-10.62647175027,1.20719701327127,-8.80259943774568,1.33683020428096e-18,6.35201607530244e-17,"PDPN"
"ENSG00000149294","chr11",112961275,113278436,"ENSG00000149294",198.413339725199,-10.4513280268531,1.19494723924344,-8.74626735274954,2.20526259597599e-18,1.02016279864414e-16,"NCAM1"
"ENSG00000126752","chrX",48255392,48267444,"ENSG00000126752",1085.1416043988,-10.4281778879901,0.601074106503465,-17.3492382639011,1.99876993267349e-67,8.44928296711872e-65,"SSX1"
"ENSG00000136574","chr8",11676785,11760002,"ENSG00000136574",86.9007288158204,-10.2238088311172,1.21584363076612,-8.40881884183989,4.14160215560404e-17,1.6646524860836e-15,"GATA4"
"ENSG00000064655","chr20",46894587,47188844,"ENSG00000064655",81.302391968282,-10.1248525136203,1.22153217095205,-8.28864990574013,1.1454113924538e-16,4.41559693713558e-15,"EYA2"
"ENSG00000144908","chr3",126103561,126197994,"ENSG00000144908",78.0971551466001,-10.0688851131082,1.21810509689486,-8.26602330026805,1.38501494970849e-16,5.25662485092147e-15,"ALDH1L1"
"ENSG00000101493","chr18",76357682,76496132,"ENSG00000101493",74.4034231477171,-10.0015828909598,1.21706209714081,-8.21780820753199,2.07256069087889e-16,7.69924894226798e-15,"ZNF516"
"ENSG00000069482","chr11",68683020,68691205,"ENSG00000069482",70.9695371825128,-9.93587552245241,1.2209643916922,-8.1377275128243,4.02766051592935e-16,1.45220853719935e-14,"GAL"
"ENSG00000237943","chr10",6580419,6616921,"ENSG00000237943",70.9949165813152,-9.93136860440792,1.21915291111008,-8.14612220821839,3.75780366714555e-16,1.35890605178576e-14,"PRKCQ-AS1"
"ENSG00000185052","chr20",19212510,19722926,"ENSG00000185052",62.7365321021439,-9.7592629250701,1.23366486735825,-7.91078937505002,2.55761930675676e-15,8.66128593412464e-14,"SLC24A3"
"ENSG00000101144","chr20",57168753,57266641,"ENSG00000101144",44.521801793342,-9.2576595583545,1.25250828718594,-7.39129605214352,1.45404461413252e-13,4.06039474365617e-12,"BMP7"
"ENSG00000137726","chr11",117836976,117877675,"ENSG00000137726",36.4659183077798,-8.97125966395546,1.26175911233658,-7.11012076413073,1.15941460139279e-12,2.83132741005462e-11,"FXYD6"
"ENSG00000113504","chr5",1050384,1155916,"ENSG00000113504",35.6909711123642,-8.932246227432,1.27513480511794,-7.00494268651528,2.4708696041191e-12,5.85887630114043e-11,"SLC12A7"
"ENSG00000166086","chr11",134068998,134152001,"ENSG00000166086",171.655831272688,-8.76298799133583,0.862351970332014,-10.161730120431,2.9381566510776e-24,2.2233865670099e-22,"JAM3"
"ENSG00000164532","chr7",35202430,35254100,"ENSG00000164532",112.793720081754,-8.73899584513269,1.06478582932022,-8.20728037929643,2.26254797502453e-16,8.35439024874267e-15,"TBX20"
"ENSG00000164695","chr8",81732448,81759515,"ENSG00000164695",55.0374660522486,-8.59664656174037,1.23754689065546,-6.94652188668765,3.74401868877336e-12,8.75914601253295e-11,"CHMP4C"
"ENSG00000099139","chr9",75890644,76362975,"ENSG00000099139",27.5014583656695,-8.56206195017117,1.2812710525745,-6.68247513511455,2.34939834574074e-11,4.94018427451728e-10,"PCSK5"
"ENSG00000080854","chr11",133896438,133956968,"ENSG00000080854",26.6919688273882,-8.5353481152905,1.34330380572878,-6.35399682401691,2.09791167572691e-10,3.79886251591376e-09,"IGSF9B"
"ENSG00000187918","chr11",5449323,5456518,"ENSG00000187918",26.2666739159655,-8.51265376766758,1.36803908998513,-6.22252231678563,4.89225166458636e-10,8.26089712894823e-09,"OR51I2"
"ENSG00000198795","chr18",25061924,25352194,"ENSG00000198795",50.9503384016707,-8.48623664046194,1.23351546600968,-6.87971644807522,5.99718116393699e-12,1.3690771673874e-10,"ZNF521"
"ENSG00000162706","chr1",159171609,159203313,"ENSG00000162706",25.4164336374417,-8.44184306539671,1.32323897653386,-6.3796813841666,1.77456792112499e-10,3.25665091992085e-09,"CADM3"
"ENSG00000198033","chr13",19173772,19181824,"ENSG00000198033",49.1720963502171,-8.43954045411794,1.23805351045953,-6.81678165185722,9.3102602016209e-12,2.0865535614565e-10,"TUBA3C"
"ENSG00000149050","chr11",6996671,7020355,"ENSG00000149050",25.0426568411461,-8.42844472584498,1.30727599355275,-6.44733382041175,1.13834877039218e-10,2.15688061456533e-09,"ZNF214"
"ENSG00000104870","chr19",49506806,49526917,"ENSG00000104870",22.6827962102339,-8.29610748328811,1.31412574897234,-6.31302406925347,2.73634919384721e-10,4.84053459846651e-09,"FCGRT"
"ENSG00000088992","chr12",117038923,117099479,"ENSG00000088992",22.2915480726995,-8.25756137126435,1.30587683379231,-6.32338453181998,2.55895439852238e-10,4.55962528655318e-09,"TESC"
"ENSG00000179873","chr19",55785397,55836800,"ENSG00000179873",21.1642541678033,-8.18139666656031,1.31795523918984,-6.20764379797107,5.37848877751124e-10,9.04456706769688e-09,"NLRP11"
"ENSG00000103381","chr16",12659799,12803887,"ENSG00000103381",41.04841751885,-8.17355029458365,1.28183808282366,-6.37642960067063,1.81264013575119e-10,3.3215478959901e-09,"CPPED1"
"ENSG00000167600","chr19",41193045,41207540,"ENSG00000167600",20.7846598801539,-8.15504490769069,1.33218688229433,-6.12154722139725,9.26710457075625e-10,1.50271739329234e-08,"CYP2S1"
"ENSG00000151790","chr4",155854738,155920414,"ENSG00000151790",215.674527931865,-8.09167729363935,0.628835089959165,-12.8677254543235,6.83864674905079e-38,1.07480731405915e-35,"TDO2"
"ENSG00000023892","chr6",35297818,35321909,"ENSG00000023892",38.0358488523145,-8.07818479241518,1.29622846960582,-6.23206863746155,4.6031569525118e-10,7.81580347380085e-09,"DEF6"
"ENSG00000105851","chr7",106865278,106908980,"ENSG00000105851",18.4971247247284,-7.99869051426955,1.35168547830992,-5.91756783854088,3.26737112025862e-09,4.80701869444637e-08,"PIK3CG"
"ENSG00000189420","chrX",153411434,153426481,"ENSG00000189420",36.1839383614926,-7.99527363453352,1.25304937368997,-6.38065331056276,1.76334095865703e-10,3.24089907229034e-09,"ZFP92"
"ENSG00000160191","chr21",42653591,42775513,"ENSG00000160191",18.4757040715022,-7.98822564800929,1.32962813718506,-6.00786447323614,1.87982871227123e-09,2.87700626513521e-08,"PDE9A"
"ENSG00000276903","chr6",27865317,27865798,"ENSG00000276903",96.9637072536371,-7.94215471605058,0.903381422801873,-8.79158516611696,1.47464376802932e-18,6.92630572883961e-17,"H2AC16"
"ENSG00000111452","chr12",130953055,131142466,"ENSG00000111452",33.5919937112253,-7.88233796454476,1.27731811459875,-6.17100616867149,6.78567744725671e-10,1.12109999765391e-08,"ADGRD1"
"ENSG00000196126","chr6",32577902,32589848,"ENSG00000196126",17.0121527543863,-7.85795532563293,1.39417451633112,-5.63627812270715,1.73764664834335e-08,2.31039156855109e-07,"HLA-DRB1"
"ENSG00000173320","chr4",183797692,184023526,"ENSG00000173320",16.4601549350288,-7.82707745401663,1.34612210810052,-5.81453748283004,6.08017612229363e-09,8.56745736588479e-08,"STOX2"
"ENSG00000254585","chr15",23643549,23647867,"ENSG00000254585",14.4822617736984,-7.65436623516302,1.45736955549015,-5.252179316034,1.50310018103915e-07,1.67058069985122e-06,"MAGEL2"
"ENSG00000177301","chr1",110519837,110631474,"ENSG00000177301",12.8775226822081,-7.47666842255511,1.40262938172715,-5.33046613735452,9.79609987923269e-08,1.12338997586074e-06,"KCNA2"
"ENSG00000143850","chr1",204218851,204378214,"ENSG00000143850",12.7560239727604,-7.47319424958059,1.45850241152711,-5.12388199739475,2.99308342797345e-07,3.15225169617926e-06,"PLEKHA6"
"ENSG00000127507","chr19",14732392,14778560,"ENSG00000127507",12.4724029711007,-7.41558438852698,1.41102805517702,-5.25544787101817,1.47664676002473e-07,1.64565569374029e-06,"ADGRE2"
"ENSG00000223638","chr19",55759043,55763424,"ENSG00000223638",66.1039961166043,-7.3835036392153,0.895859802418345,-8.24180705427766,1.69628959169218e-16,6.37877733268541e-15,"RFPL4A"
"ENSG00000279012","chr11",5323359,5324297,"ENSG00000279012",23.5176721253615,-7.37424651701366,1.30415887850646,-5.65440809286881,1.56384249518189e-08,2.10209924873189e-07,"OR51B2"
"ENSG00000157227","chr14",22836532,22849041,"ENSG00000157227",131.428731625896,-7.37140473027273,0.64339220872566,-11.4570935586444,2.16664027546971e-30,2.76675449343574e-28,"MMP14"
"ENSG00000172554","chr2",950849,1367613,"ENSG00000172554",11.6339342663513,-7.33692427839145,1.44350331147487,-5.08272078080314,3.72066446096677e-07,3.8296914884124e-06,"SNTG2"
"ENSG00000176239","chr11",5351508,5352446,"ENSG00000176239",22.4141626220351,-7.31273285042495,1.34319604873427,-5.44427811362009,5.20158971447551e-08,6.28239293692171e-07,"OR51B6"
"ENSG00000106560","chr7",150685697,150693641,"ENSG00000106560",41.6036810373199,-7.30450340433643,1.11697633703734,-6.53953281025704,6.17113029156283e-11,1.22216294417235e-09,"GIMAP2"
"ENSG00000175785","chr14",93718298,93788994,"ENSG00000175785",10.9354078830654,-7.23207550765713,1.47602134902349,-4.89970928431473,9.59785651967855e-07,9.13510272319405e-06,"PRIMA1"
"ENSG00000184156","chr8",132120861,132481095,"ENSG00000184156",9.99043033787415,-7.10275796957005,1.45031874536748,-4.89737720915298,9.71242870201763e-07,9.22981887271583e-06,"KCNQ3"
"ENSG00000181867","chr5",121851882,121852833,"ENSG00000181867",9.84354279603529,-7.09660669664372,2.25728844293728,-3.14386347870071,0.00166733205860191,0.00703608389204846,"FTMT"
"ENSG00000196876","chr12",51590266,51812864,"ENSG00000196876",9.88280320199951,-7.09410363379161,1.46641603402531,-4.83771553855579,1.31339926675504e-06,1.21425049857843e-05,"SCN8A"
"ENSG00000184106","chr6",41209634,41217947,"ENSG00000184106",19.3285468968459,-7.07705733224414,1.32335523043669,-5.34781377628197,8.90229906861178e-08,1.03053148519463e-06,"TREML3P"
"ENSG00000185272","chr21",14216130,14228372,"ENSG00000185272",9.76935857477113,-7.05892525810079,1.50404027063723,-4.69330868056483,2.68821393439331e-06,2.33722089515799e-05,"RBM11"
"ENSG00000224689","chr19",9689924,9694892,"ENSG00000224689",9.50840367924846,-7.04213583855191,1.47652327444216,-4.76940388305933,1.84771877744518e-06,1.66308256187228e-05,"ZNF812P"
"ENSG00000165496","chr14",46651010,46651781,"ENSG00000165496",9.03046292367705,-6.98069629086406,1.799520120111,-3.8791988001965,0.000104801080167622,0.000619342597976082,"RPL10L"
"ENSG00000198128","chr1",248046836,248063407,"ENSG00000198128",9.05015198860381,-6.97439468140171,2.41211579083528,-2.89140127845463,0.00383528067196519,0.0142561266699883,"OR2L3"
"ENSG00000279395","chr11",55811367,55812476,"ENSG00000279395",9.01138715161695,-6.96460497815292,2.84476629038359,-2.44821692442573,0.0143565191839893,0.042925992360128,"OR5L1"
"ENSG00000113763","chr5",176810505,176880898,"ENSG00000113763",8.90487831117509,-6.96109096530573,1.71821940480332,-4.05133997779669,5.09251490187355e-05,0.000329615312471319,"UNC5A"
"ENSG00000168952","chr14",24809454,25050333,"ENSG00000168952",62.3818779207204,-6.89550259804333,0.798204067043839,-8.63877156574875,5.68206579520092e-18,2.52378422403507e-16,"STXBP6"
"ENSG00000260668","chr16",64260570,64261239,"ENSG00000260668",8.48130555446301,-6.87749625357712,2.86957171878935,-2.3966978098316,0.0165435612062935,0.0483565848421439,""
"ENSG00000176533","chr19",2511214,2702724,"ENSG00000176533",16.7643656066432,-6.87192217224506,1.33817087996369,-5.13530990334473,2.81679472982258e-07,2.98711821737846e-06,"GNG7"
"ENSG00000166532","chr12",8681483,8783095,"ENSG00000166532",45.1909936455864,-6.82873909942892,0.931259592208253,-7.33279867027865,2.25395417630875e-13,6.04621974778315e-12,"RIMKLB"
"ENSG00000178257","chr16",11273199,11273629,"ENSG00000178257",8.16127403057128,-6.82636966351836,2.34835043995671,-2.90687861035093,0.0036505483033601,0.0136689284211642,"PRM3"
"ENSG00000167355","chr11",5303444,5505652,"ENSG00000167355",365.611151656274,-6.79392635185609,0.343113410929756,-19.8008184333167,2.92896367049259e-87,2.11212739038639e-84,"OR51B5"
"ENSG00000275367","chr12",8217758,8221115,"ENSG00000275367",7.83257513159361,-6.77519896127728,1.95303396853538,-3.46906355466932,0.000522275888277625,0.00256103204575816,""
"ENSG00000181609","chr11",5488685,5489749,"ENSG00000181609",87.5030483176413,-6.7648748288135,0.739450142921325,-9.14852055080779,5.77185540433237e-20,2.93598238181371e-18,"OR52D1"
"ENSG00000188386","chr9",101591604,101595021,"ENSG00000188386",7.69311894551862,-6.74708328458275,2.12547849732961,-3.1743832238527,0.00150155297364826,0.00643170436895667,"PPP3R2"
